Control,Resultado Esperado,Resultado Obtenido,StatusChequear usuario root,1,1,OK
Chequear permisos acceso root local,2,0,ERR
Chequear permisos acceso root remoto,1,0,ERR
Cuentas del sistema no deben poder realizar login interactivo,0,0,OK
Cuentas del sistema no deben poder realizar login interactivo,0,4,ERR
Cuentas NO deben tener UID duplicados,0,0,OK
Verificar grupos del sistema (/etc/group),0,0,OK
Bloquear  cuentas luego de determinados intentos,0,1,ERR
Verificar existencia de archivo .forward,0,1,ERR
Verificar encriptacion de passwords,0,0,OK
Verificar presencia del comando xhost,1,0,ERR
Verificar presencia de ! en archivo .exrc,123,123,OK
Verificar grupo "disk",0,0,OK
